entry_time,exit_time,direction,entry,exit,reason,pnl_usd,capital,risk_mult
2016-07-12 19:45:00,2016-07-12 20:45:00,Long,1332.4,1333.58,Horizon,146.59835438518115,11082.268685063133,1.5
2016-07-25 03:45:00,2016-07-25 04:00:00,Long,1315.54,1313.503208420276,Stop Loss,-146.093776427256,10936.174908635876,1.3182659668246777
2016-08-05 17:30:00,2016-08-05 18:30:00,Long,1337.52,1339.42,Horizon,166.43644340614992,11102.611352042026,1.347998995515178
2016-08-12 17:00:00,2016-08-12 18:00:00,Long,1350.71,1352.65,Horizon,84.91815011191457,11187.52950215394,1.5
2016-08-12 19:30:00,2016-08-12 19:45:00,Short,1340.77,1337.882485483898,Final TP,189.86167044463087,11377.39117259857,1.2731594662954668
2016-08-26 17:30:00,2016-08-26 17:45:00,Long,1334.2,1330.7511104723396,Stop Loss,-170.66086758897856,11206.730305009592,1.5
2016-09-02 15:30:00,2016-09-02 16:30:00,Short,1324.37,1323.68,Horizon,13.983803921991543,11220.714108931585,1.5
2016-09-02 16:30:00,2016-09-02 17:30:00,Short,1323.68,1316.8416231157255,Final TP,202.07243110355975,11422.786540035144,1.5
2016-09-02 20:00:00,2016-09-02 21:00:00,Short,1321.97,1322.51,Horizon,-49.81944870308606,11372.967091332057,1.0695513302444444
2016-09-15 18:15:00,2016-09-15 18:30:00,Short,1316.76,1318.8830400660122,Stop Loss,-170.59450636998085,11202.372584962077,1.5
2016-10-04 19:00:00,2016-10-04 19:30:00,Long,1275.77,1273.8547592742268,Stop Loss,-168.03558877443115,11034.336996187645,1.5
2016-10-04 20:00:00,2016-10-04 20:15:00,Long,1270.19,1269.4943857626574,Stop Loss,-152.74334074164256,10881.593655446002,1.3842548110902835
2016-10-04 21:45:00,2016-10-04 22:15:00,Long,1268.88,1271.0777998399471,Final TP,139.22809630220004,11020.821751748203,1.2001879830192708
2016-10-04 23:00:00,2016-10-04 23:45:00,Long,1269.95,1268.5344916882777,Stop Loss,-140.52388143006362,10880.29787031814,1.2750762565211866
2016-10-07 20:15:00,2016-10-07 20:30:00,Long,1250.3,1253.7079952721647,Final TP,202.68041614310368,11082.978286461243,1.5
2016-11-09 03:00:00,2016-11-09 03:45:00,Short,1275.29,1279.2306355244834,Stop Loss,-91.43457086330382,10991.543715597938,1.5
2016-11-09 04:00:00,2016-11-09 04:15:00,Short,1297.32,1302.8759454411352,Stop Loss,-164.87315573396907,10826.67055986397,1.5
2016-11-09 05:00:00,2016-11-09 05:15:00,Short,1314.03,1319.0237899393567,Stop Loss,-162.40005839795953,10664.27050146601,1.5
2016-11-09 06:00:00,2016-11-09 06:30:00,Short,1318.67,1321.136029443426,Stop Loss,7.998202876101722,10672.268704342112,1.5
2016-11-09 07:00:00,2016-11-09 07:15:00,Short,1333.9,1324.847251077,Final TP,283.36841528972224,10955.637119631834,1.5
2016-11-09 08:45:00,2016-11-09 09:00:00,Short,1320.78,1311.6236844408486,Final TP,174.71596340158771,11130.353083033422,1.5
2016-11-09 11:30:00,2016-11-09 12:30:00,Long,1298.1,1304.38,Horizon,158.76718151034422,11289.120264543766,1.5
2016-11-09 13:00:00,2016-11-09 14:00:00,Short,1306.53,1300.4554471836927,Final TP,399.1242745952525,11688.24453913902,1.5
2016-11-09 14:15:00,2016-11-09 15:00:00,Short,1304.33,1298.3688640558062,Final TP,200.1911369823349,11888.435676121355,1.5
2016-11-09 17:45:00,2016-11-09 18:15:00,Long,1288.49,1285.3190395879362,Stop Loss,-98.07959432800118,11790.356081793354,1.5
2016-11-09 22:30:00,2016-11-09 23:30:00,Short,1274.69,1277.63,Horizon,-149.90040391365164,11640.455677879701,1.5
2016-11-10 17:45:00,2016-11-10 18:00:00,Short,1270.22,1265.0406103594344,Final TP,210.0447933306116,11850.500471210313,1.5
2016-11-10 22:15:00,2016-11-10 22:30:00,Long,1256.13,1254.4535404284054,Stop Loss,-96.41622070873139,11754.08425050158,0.8136046316606257
2016-11-10 23:15:00,2016-11-11 01:15:00,Long,1259.18,1257.2738339023,Stop Loss,-119.00376524330802,11635.080485258273,1.0124460800783335
2016-11-11 19:45:00,2016-11-11 20:00:00,Long,1231.45,1229.9555535538063,Stop Loss,-123.24707118938329,11511.83341406889,1.059271324728163
2016-11-11 22:15:00,2016-11-11 22:45:00,Long,1223.91,1227.5281292365523,Final TP,200.68442519701628,11712.517839265905,0.9122299917148687
2016-11-11 23:30:00,2016-11-14 01:30:00,Long,1225.55,1229.18,Horizon,313.0417483378624,12025.559587603768,1.5
2016-11-14 10:45:00,2016-11-14 11:45:00,Short,1222.76,1225.85,Horizon,-94.68541496305477,11930.874172640713,1.4980233523009427
2016-11-14 19:15:00,2016-11-14 19:30:00,Short,1223.67,1225.5454305222663,Stop Loss,-128.91911182963622,11801.955060811077,1.0805504271033812
2016-11-15 02:15:00,2016-11-15 03:15:00,Short,1227.95,1230.0684070898042,Stop Loss,-71.0530938640193,11730.901966947058,1.0946274809848662
2016-11-23 16:00:00,2016-11-23 16:45:00,Long,1192.45,1189.0504544401392,Stop Loss,-96.77994122731147,11634.122025719747,1.5
2016-11-23 17:00:00,2016-11-23 17:30:00,Long,1185.72,1184.0320909883035,Stop Loss,-83.90857934042009,11550.213446379328,1.3113241636021582
2016-11-25 11:15:00,2016-11-25 11:30:00,Long,1187.18,1185.1321729466558,Stop Loss,-173.2532016956899,11376.960244683638,1.5
